code;control_digit;name_de;name_en
03000000;1;Landwirtschaftliche Erzeugnisse des Pflanzenbaus und der Tierhaltung sowie Fischerei-, Forst- und zugehörige Erzeugnisse;Agricultural, farming, fishing, forestry and related products
03100000;2;Landwirtschafts- und Gartenbauerzeugnisse;Agricultural and horticultural products
03110000;5;Feldfrüchte und Erzeugnisse des Erwerbsgartenbaus;Crops, products of market gardening and horticulture
03111000;2;Saatgut;Seeds
03111100;3;Sojabohnen;Soya beans
03111200;4;Erdnüsse;Peanuts
03111300;5;Sonnenblumenkerne;Sunflower seeds
03111400;6;Baumwollsamen;Cotton seeds
03111500;7;Sesamsamen;Sesame seeds
03111600;8;Senfsamen;Mustard seeds
03111700;9;Gemüsesamen;Vegetable seeds
03111800;0;Samen von Obstbäumen und -sträuchern;Fruit seeds
03111900;1;Blumensamen;Flower seeds
03112000;9;Rohtabak;Unmanufactured tobacco
03113000;6;Zur Zuckerherstellung verwendete Pflanzen;Plants used for sugar manufacturing
03113100;7;Zuckerrüben;Sugar beet
03113200;8;Zuckerrohr;Sugar cane
03114000;3;Stroh und Futterpflanzen;Straw and forage
03114100;4;Stroh;Straw
03114200;5;Futterpflanzen;Forage
03115000;0;Pflanzliche Rohstoffe;Raw vegetable materials
03115100;1;Pflanzliche Rohstoffe für die Textilherstellung;Raw vegetable materials used in textile production
03115110;4;Baumwolle;Cotton
03115120;7;Jute;Jute
03115130;0;Flachs;Flax
03116000;7;Naturkautschuk, Latex und zugehörige Erzeugnisse;Natural rubber and latex, and associated products
03116100;8;Naturkautschuk;Natural rubber
03116200;9;Natürlicher Latex;Natural latex
03116300;0;Latexerzeugnisse;Latex products
03117000;4;Pflanzen für bestimmte Anwendungen;Plants used in specific fields
03117100;5;Pflanzen, die zur Herstellung von Riechmitteln, Arzneimitteln oder Insektiziden u. Ä. verwendet werden;Plants used in perfumery or pharmacy, or for insecticidal or similar purposes
03117110;8;Pflanzen für die Herstellung von Riechmitteln;Plants used in perfumery
03117120;1;Pflanzen für die Herstellung von Arzneimitteln;Plants used in pharmacy
03117130;4;Pflanzen für die Herstellung von Insektiziden;Plants used for insecticidal purposes
03117140;7;Pflanzen für die Herstellung von Fungiziden u. Ä.;Plants used for fungicidal or similar purposes
03117200;6;Samen von Pflanzen für bestimmte Anwendungen;Seeds of plants used in specific fields
03120000;8;Gartenbau- und Baumschulerzeugnisse;Horticultural and nursery products
03121000;5;Gartenbauerzeugnisse;Horticultural products
03121100;6;Lebende Pflanzen, Knollen, Wurzeln, Stecklinge und Pfropfreiser;Live plants, bulbs, roots, cuttings and slips
03121200;7;Schnittblumen;Cut flowers
03121210;0;Blumenarrangements;Floral arrangements
03130000;1;Getränke- und Gewürzpflanzen;Beverage and spice crops
03131000;8;Pflanzen zur Getränkeherstellung;Beverage crops
03131100;9;Kaffeebohnen;Coffee beans
03131200;0;Teesträucher;Tea bushes
03131300;1;Mate;Maté
03131400;2;Kakaobohnen;Cocoa beans
03132000;5;Gewürze, unverarbeitet;Unprocessed spices
03140000;4;Tierische Erzeugnisse und zugehörige Erzeugnisse;Animal products and related products
03141000;1;Bullensperma;Bulls' semen
03142000;8;Tierische Produkte;Animal products
03142100;9;Naturhonig;Natural honey
03142200;0;Schnecken;Snails
03142300;1;Genießbare Erzeugnisse tierischen Ursprungs;Edible products of animal origin
03142400;2;Wachse;Waxes
03142500;3;Eier;Eggs
03143000;5;Erzeugnisse des landwirtschaftlichen Gemischtbetriebs;Products of mixed farming
03144000;2;Landwirtschaftlicher Bedarf;Agricultural supplies
03200000;3;Getreide, Kartoffeln/Erdäpfel, Gemüse und Obst;Cereals, potatoes, vegetables, fruits and nuts
03210000;6;Getreide und Kartoffeln/Erdäpfel;Cereals and potatoes
03211000;3;Getreide;Cereals
03211100;4;Weizen;Wheat
03211110;7;Hartweizen;Durum wheat
03211120;0;Weichweizen;Soft wheat
03211200;5;Mais;Maize
03211300;6;Reis;Rice
03211400;7;Gerste;Barley
03211500;8;Roggen;Rye
03211600;9;Hafer;Oats
03211700;0;Malz;Malt
03211900;2;Getreideerzeugnisse;Grain products
03212000;0;Kartoffeln/Erdäpfel und Trockengemüse;Potatoes and dried vegetables
03212100;1;Kartoffeln/Erdäpfel;Potatoes
03212200;2;Trockene ausgelöste Hülsenfrüchte und Hülsenfrüchtler;Dried leguminous vegetables and pulses
03212210;5;Trockene ausgelöste Hülsenfrüchte;Dried leguminous vegetables
03212211;2;Linsen;Lentils
03212212;9;Kichererbsen;Chick peas
03212213;6;Trockenerbsen;Dried peas
03212220;8;Hülsenfrüchtler;Pulses
03220000;9;Gemüse, Obst und Schalenfrüchte;Vegetables, fruits and nuts
03221000;6;Gemüse;Vegetables
03221100;7;Wurzel- und Knollengemüse;Root and tuber vegetables
03221110;0;Wurzelgemüse;Root vegetables
03221111;7;Rote Beete;Beetroot
03221112;4;Karotten;Carrots
03221113;1;Zwiebeln;Onions
03221114;8;Speiserüben;Turnips
03221120;3;Knollengemüse;Tuber vegetables
03221200;8;Fruchtgemüse;Fruit vegetables
03221210;1;Bohnen;Beans
03221211;8;Saubohnen;Broad beans
03221212;5;Grüne Bohnen;Green beans
03221213;2;Schnittbohnen;Runner beans
03221220;4;Erbsen;Peas
03221221;1;Gartenerbsen;Garden peas
03221222;8;Zuckererbsen;Mange-tout
03221230;7;Paprika;Peppers
03221240;0;Tomaten/Paradeiser;Tomatoes
03221250;3;Zucchini;Courgettes
03221260;6;Pilze;Mushrooms
03221270;9;Gurken;Cucumbers
03221300;9;Blattgemüse;Leaf vegetables
03221310;2;Kopfsalat;Lettuce
03221320;5;Salatblätter;Salad leaves
03221330;8;Artischocken;Artichokes
03221340;1;Spinat;Spinach
03221400;0;Kohlgemüse;Cabbage vegetables
03221410;3;Kohl;Cabbage
03221420;6;Blumenkohl/Karfiol;Cauliflower
03221430;9;Brokkoli;Broccoli
03221440;2;Rosenkohl/Kohlsprossen;Brussels sprouts
03222000;3;Früchte und Nüsse;Fruit and nuts
03222100;4;Tropenfrüchte und -nüsse;Tropical fruit and nuts
03222110;7;Tropenfrüchte;Tropical fruit
03222111;4;Bananen;Bananas
03222112;1;Ananas;Pineapples
03222113;8;Mangos;Mangoes
03222114;5;Datteln;Dates
03222115;2;Rosinen;Raisins
03222116;9;Feigen;Figs
03222117;6;Avocados;Avocados
03222118;3;Kiwis;Kiwi fruit
03222120;0;Kokosnüsse;Coconuts
03222200;5;Zitrusfrüchte;Citrus fruit
03222210;8;Zitronen;Lemons
03222220;1;Orangen;Oranges
03222230;4;Grapefruits;Grapefruit
03222240;7;Tangerinen;Tangerines
03222250;0;Limonen;Limes
03222300;6;Nichttropisches Obst;Non-tropical fruit
03222310;9;Beerenobst;Berry fruit
