code;name;description
KD_7_1_Z1;BVergGKonz-VII-1-Z1;Kerndaten für die Bekanntmachung von zu vergebenden Konzessionen
KD_7_1_Z2;BvergGKonz-VII-1-Z2;Kerndaten für die freiwillige Bekanntmachung eines Konzessionsvergabeverfahrens ohne vorherige Bekanntmachung
KD_7_2_Z1;BvergGKonz-VII-2-Z1;Kerndaten für die Bekanntgabe von vergebenen Konzessionen
KD_7_2_Z2;BvergGKonz-VII-2-Z2;Kerndaten für die Bekanntgabe der Änderung von vergebenen Konzessionen gemäß § 108 Abs. 4
KD_8_1_Z1;BVergG-VIII-1-Z1;Kerndaten für die Bekanntmachung einer Vorinformation, einer regelmäßigen nichtverbindlichen Bekanntmachung oder des Bestehens eines Prüfsystems
KD_8_1_Z2;BvergG-VIII-1-Z2;Kerndaten für die Bekanntmachung von zu vergebenden Aufträgen, Rahmenvereinbarungen und die Einrichtung bzw. Einstellung von dynamischen Beschaffungssystemen
KD_8_1_Z3;BvergG-VIII-1-Z3;Kerndaten für die Bekanntmachung von Wettbewerben
KD_8_1_Z4;BvergG-VIII-1-Z4;Kerndaten für die freiwillige Bekanntmachung eines Vergabeverfahrens ohne vorherige Bekanntmachung
KD_8_1_Z5;BvergG-VIII-1-Z5;Kerndaten für die Bekanntmachung einer Direktvergabe mit vorheriger Bekanntmachung
KD_8_2_Z1;BvergG-VIII-2-Z1;Kerndaten für die Bekanntgabe von vergebenen Aufträgen und abgeschlossenen Rahmenvereinbarungen
KD_8_2_Z2;BvergG-VIII-2-Z2;Kerndaten für die Bekanntgabe von Wettbewerben
KD_8_2_Z3;BvergG-VIII-2-Z3;Kerndaten für die Bekanntgabe der Änderung von vergebenen Aufträgen und abgeschlossenen Rahmenvereinbarungen gemäß § 365 Abs. 4
